model,split,num_eval_images,latent_refit,psnr_hdr,ssim_hdr,lpips_hdr,psnr_ldr,ssim_ldr,lpips_ldr,log_rmse_hdr,lum_weighted_rmse_hdr,peak_intensity_rel_error,peak_angle_error_deg,peak_argmax_angle_error_deg
w3_1cyc,test,21,True,14.385765,0.934422,0.203074,21.946255,0.536794,0.513299,0.635060,10.089067,0.446261,5.962603,12.291392
w3_1cyc_d9,test,21,True,11.300535,0.892802,0.419565,18.131229,0.425429,0.654438,0.854678,11.169066,0.740026,20.963110,26.838095
w3_1cyc_d36,test,21,True,12.921717,0.919642,0.295219,20.450058,0.487418,0.572177,0.717636,10.718801,0.586054,6.193974,12.794256
w3_1cyc_d49,test,21,True,13.362305,0.922786,0.266401,20.917068,0.502305,0.550266,0.694786,10.424533,0.541081,7.917905,12.861686
