angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
65,resampled_image,full_image,adam,8,0.726259,0.0818765,0.722662,0.0840579,0.305943,0.237815,12.4724,9.78911
65,resampled_image,full_image,gd,8,0.128089,0.0921994,0.128145,0.0931694,0.0204484,0.0211623,0.828327,0.857564
65,resampled_image,random,adam,8,0.756631,0.0838034,0.763796,0.0936886,0.243874,0.173043,9.91528,7.08273
65,resampled_image,random,gd,8,0.385986,0.152236,0.386931,0.156657,0.0621142,0.0367831,2.51692,1.49108
75,rotated_directions,full_image,adam,8,0.633201,0.0910873,0.61283,0.0885543,0.182331,0.0502218,7.39307,2.0382
75,rotated_directions,full_image,gd,8,0.0483758,0.0400066,0.0479592,0.0394754,0.0081443,0.00602068,0.330085,0.243822
75,rotated_directions,random,adam,8,0.692791,0.109337,0.693953,0.112916,0.125045,0.118642,5.07422,4.82777
75,rotated_directions,random,gd,8,0.379285,0.115109,0.378506,0.117257,0.0534682,0.0275065,2.16645,1.1146
75,resampled_image,full_image,adam,8,0.63686,0.093689,0.618357,0.0919961,0.20188,0.0605436,8.18759,2.45915
75,resampled_image,full_image,gd,8,0.165602,0.0634477,0.165585,0.0635248,0.0278784,0.0157163,1.12953,0.636771
75,resampled_image,random,adam,8,0.675087,0.114522,0.67757,0.110705,0.203035,0.141739,8.24433,5.77525
75,resampled_image,random,gd,8,0.382128,0.122489,0.384951,0.123658,0.0594434,0.0347403,2.40867,1.40798
85,rotated_directions,full_image,adam,8,0.489828,0.112862,0.480963,0.0995889,0.108206,0.0615152,4.38613,2.49625
85,rotated_directions,full_image,gd,8,0.0568245,0.0690287,0.0571815,0.0700053,0.00901547,0.00876665,0.366512,0.354037
85,rotated_directions,random,adam,8,0.645458,0.122213,0.647973,0.11123,0.145083,0.074787,5.88247,3.0355
85,rotated_directions,random,gd,8,0.374928,0.124882,0.373051,0.1266,0.0595963,0.0263917,2.41482,1.06941
85,resampled_image,full_image,adam,8,0.493025,0.119014,0.481564,0.10786,0.115519,0.0814157,4.68378,3.30582
85,resampled_image,full_image,gd,8,0.13796,0.0831725,0.138696,0.0860813,0.0238974,0.0207604,0.96842,0.841077
